"","EH_ID","IFNy_CEWE","dpi"
"1","LM0423",4707.99271384873,8
"2","LM0370",383.025330984155,8
"3","LM0368",421.682145518789,8
"4","LM0372",765.636464562178,8
"5","LM0375",922.187209845033,8
"6","LM0397",356.195557602697,8
"7","LM0419",250.421360638965,8
"8","LM0398",1286.61211824767,8
"9","LM0405",2108.63911866709,8
"10","LM0418",837.431675513534,8
"11","LM0382",428.309035238061,8
"12","LM0366",2332.43027172944,8
"13","LM0414",864.926234725698,8
"14","LM0383",2675.66345314537,8
"15","LM0388",617.953781540951,8
"16","LM0387",229.520020233371,8
"17","LM0371",1129.75416863189,8
"18","LM0403",252.567719042363,8
"19","LM0374",697.306892890507,8
"20","LM0421",698.674135876814,8
"21","LM0389",731.940324963097,8
"22","LM0406",531.223379481431,8
"23","LM0429",1566.29680433647,8
"24","LM0409",388.32615217109,8
"25","LM0390",1246.61004846969,8
"26","LM0378",407.308416306065,8
"27","LM0386",404.52711699525,8
"28","LM0381",1015.49933262755,8
"29","LM0391",3465.05935178928,8
"30","LM0385",125.092653639465,8
"31","LM0399",570.167305007469,8
"32","LM0369",71.4040264243091,8
"33","LM0376",215.56509605414,8
"34","LM0395",967.740618318314,8
"35","LM0394",278.250968900594,8
"36","LM0393",564.991686600378,8
"37","LM0379",968.994760899286,8
"38","LM0373",778.529916700914,8
"39","LM0377",89.2893862851217,8
"40","LM0392",459.759515209911,8
"41","LM0264",12.6543617317481,8
"42","LM0248",31.9834136276131,8
"43","LM0254",23.1158022243411,8
"44","LM0228",84.9852124920339,8
"45","LM0234",112.055644071278,8
"46","LM0231",37.5056012557841,8
"47","LM0240",43.3808823861458,8
"48","LM0232",21.8877741271661,8
"49","LM0235",53.5403908319353,8
"50","LM0229",11.9382981889895,8
"51","LM0251",1.71942881541789,8
"52","LM0236",121.105391312534,8
"53","LM0259",41.1760044409716,8
"54","LM0268",22.2297969084074,8
"55","LM0258",22.5199587596992,8
"56","LM0266",1.04028249056332,8
"57","LM0239",25.060196364609,8
"58","LM0247",15.7742979705957,8
"59","LM0257",21.2530814946465,8
"60","LM0256",14.6139889944201,8
"61","LM0261",22.7925981911959,8
"62","LM0238",61.4115394386923,8
"63","LM0227",54.4201292769137,8
"64","LM0255",87.5850373523195,8
"65","LM0271",11.5962495992721,8
"66","LM0249",25.5475919853859,8
"67","LM0233",81.662990584743,8
"68","LM0262",0.225145312864292,8
"69","LM0272",NA,8
"70","LM0276",37.2475522517456,8
"71","LM0285",52.2081651889237,8
"72","LM0291",110.035712563026,8
"73","LM0277",14.6670411958386,8
"74","LM0288",32.5857551761345,8
"75","LM0286",19.5159265822312,8
"76","LM0278",27.8926078147264,8
"77","LM0294",177.312730924564,8
"78","LM0279",8.41303699477307,8
"79","LM0282",23.307649530542,8
"80","LM0260",11.2982790313474,8
"81","LM0265",24.5913139705393,8
"82","LM0293",0.225145312864292,8
"83","LM0270",19.7264528663963,8
"84","LM0273",16.5237749733482,8
"85","LM0263",15.5470128102051,8
"86","LM0269",28.0476364972057,8
"87","LM0284",48.3675947493746,8
"88","LM0283",33.822275433801,8
"89","LM0275",6.05707055172943,8
"90","LM0292",22.3339434737452,8
"91","LM0280",54.1465789028593,8
"92","LM0287",52.366947921615,8
"93","LM0289",11.1755693464102,8
"94","LM0333",223.244833284625,8
"95","LM0340",50.9646675101204,8
"96","LM0334",47.4564142166688,8
"97","LM0332",224.33938439495,8
"98","LM0343",19.2799309525011,8
"99","LM0342",26.8867342101947,8
"100","LM0347",43.5591598840579,8
"101","LM0338",380.523992986736,8
"102","LM0345",176.343595005784,8
"103","LM0335",23.6249410096919,8
"104","LM0339",76.1230512085418,8
"105","LM0337",33.1153542171992,8
"106","LM0341",300.31142053042,8
"107","LM0346",14.9964342922672,8
"108","LM0344",3.67231170010524,8
"109","LM0336",123.779469601635,8
"110","LM0352",566.870157402793,8
"111","LM0353",459.582673472966,8
"112","LM0354",256.089697167021,8
"113","LM0355",275.954929080042,8
"114","LM0356",238.721489574293,8
"115","LM0357",179.401561539756,8
"116","LM0358",79.8828764448402,8
"117","LM0359",271.95186278651,8
"118","LM0361",243.699389206344,8
"119","LM0363",189.494373803639,8
"120","LM0364",493.723185018014,8
"121","LM0365",875.6170169286,8
"122","LM0367",651.114694297031,8
