"","labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","EH_ID","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","primary_infection","challenge_infection","mouse_strain","infection_history","Locality","Genome","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain","contamination","InfectionHistoryTotal","total_oocysts","OPG"
"1","E10aAAX",0,0,0,0,1,"LM0372","E10",21.18,22.87,92.6104066462615,1.42,10,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2","E10aABE",0,0,0,0,1,"LM0394","E10",16.01,14.48,110.566298342541,0.83,2,"primary","UNI","UNI","PWD_PWD","UNI:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3","E10aADZ",8,3,15,11,1,"LM0381","E10",11.74,14.8,79.3243243243243,0.34,8,"primary","E88","E88","SCHUNT_SCHUNT","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185000,544117.647058823
"4","E10aAEM",20,16,15,7,1,"LM0370","E10",15.6,16.25,96,1.29,4,"primary","E64","E64","PWD_PWD","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290000,224806.201550388
"5","E10aAEX",NA,NA,NA,NA,1,"LM0383","E10",11.17,14.04,79.5584045584046,NA,9,"primary","E88","E88","PWD_PWD","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","E10aAFG",0,0,0,0,1,"LM0384","E10",19.29,19.28,100.051867219917,1.01,1,"primary","E88","E64","SCHUNT_SCHUNT","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"7","E10aAHH",0,0,0,3,1,"LM0372","E10",20.55,22.87,89.855706165282,1.53,8,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,9803.92156862745
"8","E10aAHK",0,0,0,0,1,"LM0397","E10",17.81,18.45,96.5311653116531,1.35,5,"primary","UNI","E64","PWD_PWD","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"9","E10aAOU",4,4,5,7,1,"LM0380","E10",20.08,19.82,101.311806256307,0.98,5,"primary","E88","E88","SCHUNT_SCHUNT","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+05,102040.816326531
"10","E10aAQA",NA,NA,NA,NA,NA,"LM0399","E10",15.27,15.27,100,NA,0,"primary","UNI","E88","PWD_PWD","UNI:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","E10aAWA",0,0,0,0,1,"LM0383","E10",13.27,14.04,94.5156695156695,0.81,4,"primary","E88","E88","PWD_PWD","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"12","E10aAXX",1,2,0,0,1,"LM0373","E10",23.24,25.04,92.8115015974441,1.94,11,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,7731.9587628866
"13","E10aAYM",0,0,0,0,1,"LM0370","E10",17.38,16.25,106.953846153846,1.22,11,"primary","E64","E64","PWD_PWD","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"14","E10aBAA",1,3,4,4,1,"LM0381","E10",14.54,14.8,98.2432432432432,0.87,5,"primary","E88","E88","SCHUNT_SCHUNT","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,68965.5172413793
"15","E10aBAM",18,21,18,16,1,"LM0369","E10",16.67,19.22,86.732570239334,1.22,6,"primary","E64","E64","SCHUNT_SCHUNT","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365000,299180.327868852
"16","E10aBBQ",0,0,0,0,1,"LM0387","E10",12.74,14.16,89.9717514124294,0.59,4,"primary","E88","E64","PWD_PWD","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"17","E10aBJK",0,0,0,0,1,"LM0385","E10",15.79,15.6,101.217948717949,0.84,1,"primary","E88","E64","SCHUNT_SCHUNT","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"18","E10aBKA",3,1,3,3,1,"LM0372","E10",20.32,22.87,88.8500218627022,1.21,4,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,41322.3140495868
"19","E10aBQF",NA,NA,NA,NA,1,"LM0382","E10",14.03,17.96,78.1180400890869,NA,10,"primary","E88","E88","PWD_PWD","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","E10aBRI",135,162,185,191,1,"LM0379","E10",12.51,14.8,84.527027027027,0.72,5,"primary","E64","UNI","PWD_PWD","E64:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3365000,4673611.11111111
"21","E10aBRN",NA,NA,NA,NA,1,"LM0371","E10",NA,16.15,NA,NA,6,"primary","E64","E64","PWD_PWD","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","E10aBRU",0,1,0,0,1,"LM0370","E10",17.78,16.25,109.415384615385,1.01,10,"primary","E64","E64","PWD_PWD","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,4950.49504950495
"23","E10aBSE",0,0,0,0,1,"LM0397","E10",18.07,18.45,97.940379403794,0.83,10,"primary","UNI","E64","PWD_PWD","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"24","E10aBWZ",0,1,0,0,1,"LM0368","E10",20.39,21.51,94.793119479312,1.24,8,"primary","E64","E64","SCHUNT_SCHUNT","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,4032.25806451613
"25","E10aBXR",40,35,26,39,1,"LM0373","E10",22.55,25.04,90.055910543131,0.92,5,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e+05,760869.565217391
"26","E10aCBB",0,0,0,0,1,"LM0392","E10",21.16,24.31,87.0423693953106,0.82,4,"primary","UNI","UNI","SCHUNT_SCHUNT","UNI:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"27","E10aCBO",93,49,43,53,1,"LM0372","E10",20.42,22.87,89.2872759073022,1.04,6,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190000,1144230.76923077
"28","E10aCBY",0,0,0,0,1,"LM0374","E10",16.2,17.27,93.8042848870874,0.64,2,"primary","E64","E88","PWD_PWD","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"29","E10aCCB",0,2,2,2,1,"LM0388","E10",18.01,22.81,78.9565979833406,0.18,11,"primary","E88","UNI","SCHUNT_SCHUNT","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,166666.666666667
"30","E10aCCE",3,1,2,1,1,"LM0387","E10",11.63,14.16,82.1327683615819,0.11,8,"primary","E88","E64","PWD_PWD","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,318181.818181818
"31","E10aCDH",30,14,27,29,1,"LM0382","E10",15.19,17.96,84.5768374164811,0.44,6,"primary","E88","E88","PWD_PWD","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,1136363.63636364
"32","E10aCGR",0,0,0,0,1,"LM0372","E10",21.28,22.87,93.0476606908614,1.54,9,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"33","E10aCIJ",0,0,0,0,1,"LM0384","E10",19.29,19.28,100.051867219917,1.26,2,"primary","E88","E64","SCHUNT_SCHUNT","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"34","E10aCLD",0,0,0,0,1,"LM0375","E10",15.42,15.05,102.458471760797,1.46,10,"primary","E64","E88","PWD_PWD","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"35","E10aCLH",NA,NA,NA,NA,1,"LM0391","E10",NA,15.73,NA,NA,11,"primary","E88","UNI","PWD_PWD","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","E10aCNW",199,186,188,179,1,"LM0370","E10",15.17,16.25,93.3538461538462,1.27,5,"primary","E64","E64","PWD_PWD","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3760000,2960629.92125984
"37","E10aCQA",0,0,0,0,1,"LM0394","E10",16.65,14.48,114.986187845304,1.09,7,"primary","UNI","UNI","PWD_PWD","UNI:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"38","E10aCQF",0,0,0,0,1,"LM0396","E10",17.44,17.64,98.8662131519275,1.98,4,"primary","UNI","E64","SCHUNT_SCHUNT","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"39","E10aCSK",47,52,40,43,1,"LM0388","E10",18.73,22.81,82.1131082858396,0.31,9,"primary","E88","UNI","SCHUNT_SCHUNT","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,910000,2935483.87096774
"40","E10aCTL",0,0,0,0,1,"LM0389","E10",19.08,19.47,97.9969183359014,1.35,4,"primary","E88","UNI","SCHUNT_SCHUNT","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"41","E10aCWA",0,0,0,0,1,"LM0396","E10",18.17,17.64,103.004535147392,0.94,9,"primary","UNI","E64","SCHUNT_SCHUNT","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"42","E10aCWZ",0,0,0,0,1,"LM0394","E10",16.23,14.48,112.085635359116,0.9,1,"primary","UNI","UNI","PWD_PWD","UNI:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"43","E10aCXG",0,0,0,0,1,"LM0391","E10",14.73,15.73,93.6427209154482,1.53,3,"primary","E88","UNI","PWD_PWD","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"44","E10aCXR",1,4,2,4,1,"LM0387","E10",12.04,14.16,85.0282485875706,0.4,6,"primary","E88","E64","PWD_PWD","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55000,137500
"45","E10aCYC",120,152,160,177,1,"LM0379","E10",13.73,14.8,92.7702702702703,0.78,6,"primary","E64","UNI","PWD_PWD","E64:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3045000,3903846.15384615
"46","E10aCYL",0,0,0,0,1,"LM0377","E10",17.22,18.02,95.5604883462819,1.37,10,"primary","E64","UNI","SCHUNT_SCHUNT","E64:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"47","E10aCZQ",0,0,0,0,1,"LM0373","E10",24.4,25.04,97.444089456869,1.32,2,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"48","E10aDBR",0,0,0,0,1,"LM0377","E10",17.16,18.02,95.2275249722531,1.07,2,"primary","E64","UNI","SCHUNT_SCHUNT","E64:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"49","E10aDEM",99,117,107,98,1,"LM0379","E10",15.14,14.8,102.297297297297,0.87,7,"primary","E64","UNI","PWD_PWD","E64:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2105000,2419540.22988506
"50","E10aDFU",0,0,0,0,1,"LM0394","E10",16.05,14.48,110.842541436464,1.13,4,"primary","UNI","UNI","PWD_PWD","UNI:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"51","E10aDFW",160,143,141,105,1,"LM0368","E10",19.34,21.51,89.9116689911669,0.77,6,"primary","E64","E64","SCHUNT_SCHUNT","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2745000,3564935.06493506
"52","E10aDGI",59,72,65,41,1,"LM0388","E10",19.36,22.81,84.8750548005261,0.33,10,"primary","E88","UNI","SCHUNT_SCHUNT","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1185000,3590909.09090909
"53","E10aDGV",0,0,0,0,1,"LM0395","E10",14.58,15.38,94.7984395318596,0.62,5,"primary","UNI","UNI","PWD_PWD","UNI:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"54","E10aDIL",NA,NA,NA,NA,NA,"LM0379","E10",14.8,14.8,100,NA,0,"primary","E64","UNI","PWD_PWD","E64:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","E10aDMH",0,0,0,0,1,"LM0372","E10",21.19,22.87,92.6541320507215,1.15,3,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"56","E10aDQH",0,0,0,0,1,"LM0369","E10",17.54,19.22,91.2591050988554,2.2,10,"primary","E64","E64","SCHUNT_SCHUNT","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"57","E10aDWZ",0,0,0,0,1,"LM0379","E10",14.32,14.8,96.7567567567568,0.63,1,"primary","E64","UNI","PWD_PWD","E64:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"58","E10aEDH",0,0,0,0,1,"LM0369","E10",18.49,19.22,96.2018730489074,1.82,4,"primary","E64","E64","SCHUNT_SCHUNT","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"59","E10aEEB",0,0,0,0,1,"LM0393","E10",17.57,16.97,103.535651149087,0.81,7,"primary","UNI","UNI","SCHUNT_SCHUNT","UNI:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"60","E10aEFY",NA,NA,NA,NA,1,"LM0383","E10",NA,14.04,NA,NA,11,"primary","E88","E88","PWD_PWD","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","E10aEID",0,0,0,0,1,"LM0396","E10",17.56,17.64,99.546485260771,0.98,10,"primary","UNI","E64","SCHUNT_SCHUNT","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"62","E10aEJZ",3,0,0,0,1,"LM0373","E10",22.63,25.04,90.3753993610224,2.34,8,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,6410.25641025641
"63","E10aERA",0,0,0,0,1,"LM0376","E10",17.47,17.77,98.3117613956106,1.07,2,"primary","E64","UNI","SCHUNT_SCHUNT","E64:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"64","E10aERX",0,0,0,0,1,"LM0397","E10",17.36,18.45,94.0921409214092,0.7,2,"primary","UNI","E64","PWD_PWD","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"65","E10aESZ",0,0,0,0,1,"LM0398","E10",16.35,15.67,104.339502233567,1.34,1,"primary","UNI","E88","SCHUNT_SCHUNT","UNI:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"66","E10aETD",0,0,0,0,1,"LM0395","E10",14.65,15.38,95.2535760728219,0.56,3,"primary","UNI","UNI","PWD_PWD","UNI:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"67","E10aEVS",NA,NA,NA,NA,NA,"LM0389","E10",19.47,19.47,100,NA,0,"primary","E88","UNI","SCHUNT_SCHUNT","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","E10aEVY",0,0,0,0,1,"LM0397","E10",17.47,18.45,94.6883468834688,0.92,4,"primary","UNI","E64","PWD_PWD","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"69","E10aFDU",0,0,0,0,1,"LM0389","E10",18.8,19.47,96.5588084232152,1.57,3,"primary","E88","UNI","SCHUNT_SCHUNT","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"70","E10aFHY",5,10,7,12,1,"LM0375","E10",12.78,15.05,84.9169435215947,2.05,4,"primary","E64","E88","PWD_PWD","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170000,82926.8292682927
"71","E10aFIA",0,0,0,0,1,"LM0377","E10",16.78,18.02,93.118756936737,1.68,11,"primary","E64","UNI","SCHUNT_SCHUNT","E64:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"72","E10aFIJ",NA,NA,NA,NA,1,"LM0381","E10",NA,14.8,NA,NA,9,"primary","E88","E88","SCHUNT_SCHUNT","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","E10aFPM",0,0,0,0,1,"LM0380","E10",19.95,19.82,100.655903128153,0.69,1,"primary","E88","E88","SCHUNT_SCHUNT","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"74","E10aFRH",NA,NA,NA,NA,NA,"LM0372","E10",22.87,22.87,100,NA,0,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","E10aFTF",59,60,54,79,1,"LM0375","E10",14.36,15.05,95.4152823920266,1.59,7,"primary","E64","E88","PWD_PWD","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260000,792452.830188679
