"","EH_ID","primary_infection","challenge_infection","mouse_strain","experiment","infection_history","Locality","Genome","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain","contamination","InfectionHistoryTotal"
"87","LM0205","E64",NA,"SCHUNT_STRA","E5",NA,"SCHUNT x STRA","dom","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",814,"M","F1","1M","6.05",10.55,"L4",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,NA,NA,NA
"88","LM0290","E64",NA,"SCHUNT_STRA","E5",NA,"SCHUNT x STRA","dom","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",815,"F","F1","1F","6.07",10.81,"P3",NA,"","SCHUNT","STRA","outbred hybrids",12.8571428571429,2,NA,NA,NA
"89","LM0246","E88",NA,"SCHUNT_STRA","E5",NA,"SCHUNT x STRA","dom","SY",3472,36,"STRA","SY",7281,56,"2018-05-06",5,5,"3","2","EX",970,"F","F1","1F","7.68",12.47,"P3",NA,"","SCHUNT","STRA","outbred hybrids",9.14285714285714,2,NA,NA,NA
"90","LM0223","E64",NA,"SCHUNT_SCHUNT","E5",NA,"Schweben 2","dom","SY",5726,36,"SCHUNT","SY",5725,36,"2018-04-13",5,5,"2","3","EX",822,"M","37","1M","6.5",10.5,"L3",NA,NA,"SCHUNT","SCHUNT","parental strains",12.4285714285714,1,NA,NA,NA
"91","LM0226","E64",NA,"SCHUNT_SCHUNT","E5",NA,"Schweben 2","dom","SY",5726,36,"SCHUNT","SY",5725,36,"2018-04-13",5,5,"2","3","EX",825,"F","37","1F","5.56",9.42,"P2",NA,NA,"SCHUNT","SCHUNT","parental strains",12.4285714285714,1,NA,NA,NA
"92","LM0221","E64",NA,"SCHUNT_SCHUNT","E5",NA,"Schweben 2","dom","SY",7907,37,"SCHUNT","SY",7904,37,"2018-05-01",3,6,"5","1","EX",922,"M","38","1M","5.51",9.03,"L4",NA,NA,"SCHUNT","SCHUNT","parental strains",9.85714285714286,1,NA,NA,NA
"93","LM0222","E64",NA,"STRA_BUSNA","E5",NA,"STRA x BUSNA","dom x mus","SY",6346,55,"BUSNA","SY",6111,60,"2018-03-07",2,5,"2","3","EX",659,"M","F1","1M","7.57",10.51,"P3",NA,NA,"STRA","BUSNA","inter subsp. hybrids",17.7142857142857,1,NA,NA,NA
"94","LM0208","E64",NA,"STRA_SCHUNT","E5",NA,"STRA x SCHUNT","dom","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,NA,"STRA","SCHUNT","outbred hybrids",15.7142857142857,1,NA,NA,NA
"95","LM0214","E64",NA,"STRA_STRA","E5",NA,"Straas2","dom","SY",4827,55,"STRA","SY",4823,55,"2018-04-03",3,7,"2","5","EX",773,"M","56","1M","7.05",11.98,"P2",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,NA,NA,NA
"96","LM0225","E64",NA,"STRA_STRA","E5",NA,"Straas2","dom","SY",4827,55,"STRA","SY",4823,55,"2018-04-03",3,7,"2","5","EX",774,"M","56","1M","7.36",12.51,"P3",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,NA,NA,NA
"97","LM0267","E64",NA,"STRA_STRA","E5",NA,"Straas2","dom","SY",4827,55,"STRA","SY",4823,55,"2018-04-03",3,7,"2","5","EX",775,"F","56","1F","7.25",11.94,"P4",NA,"","STRA","STRA","parental strains",13.8571428571429,2,NA,NA,NA
"98","LM0209","E64",NA,"STRA_STRA","E5",NA,"Straas2","dom","SY",8113,56,"STRA","SY",8111,56,"2018-04-03",1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,NA,NA,NA
"99","LM0274","E64",NA,"STRA_STRA","E5",NA,"Straas2","dom","SY",8113,56,"STRA","SY",8111,56,"2018-05-03",2,7,"6","1","EX",950,"M","57","1M","8.32",12.56,"P4",NA,"","STRA","STRA","parental strains",9.57142857142857,2,NA,NA,NA
"100","LM0227","E88","E64","BUSNA_STRA","E7","E88:E64","BUSNA x STRA","mus x dom","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",901,"M","F1","1M","7.85",12.43,"P2",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E64","u.c.","u.c. E88 E64"
"101","LM0228","E88","E64","STRA_BUSNA","E7","E88:E64","STRA x BUSNA","dom x mus","SY",6346,55,"BUSNA","SY",6111,60,"2018-03-07",2,5,"2","3","EX",662,"F","F1","1F","7.71",10.34,"L4",NA,"","STRA","BUSNA","inter subsp. hybrids",17.71428571,2,"E64","u.c.","u.c. E88 E64"
"102","LM0229","E88","E88","SCHUNT_SCHUNT","E7","E88:E88","Schweben 2","dom","SY",5726,36,"SCHUNT","SY",5725,36,"2018-05-07",6,5,"2","3","EX",985,"F","37","1F","6.23",9.01,"P5",NA,"","SCHUNT","SCHUNT","parental strains",9,2,"E88",NA,"NA E88 E88"
"103","LM0231","E88","E64","PWD_SCHUNT","E7","E88:E64","PWD x SCHUNT","mus x dom","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E64",NA,"NA E88 E64"
"104","LM0232","E88","E88","BUSNA_STRA","E7","E88:E88","BUSNA x STRA","mus x dom","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88",NA,"NA E88 E88"
"105","LM0233","E88","E88","STRA_STRA","E7","E88:E88","Straas2","dom","SY",8113,56,"STRA","SY",8111,56,"2018-05-03",2,7,"6","1","EX",953,"F","57","1F","7.91",11.69,"L2",NA,"REZERVA","STRA","STRA","parental strains",9.571428571,2,"E88",NA,"NA E88 E88"
"106","LM0234","E88","E64","STRA_STRA","E7","E88:E64","Straas2","dom","SY",8113,56,"STRA","SY",8111,56,"2018-05-03",2,7,"6","1","EX",951,"M","57","1M","8.16",12.32,"P5",NA,"REZERVA","STRA","STRA","parental strains",9.571428571,2,"E64",NA,"NA E88 E64"
"107","LM0235","E88","E64","STRA_SCHUNT","E7","E88:E64","STRA x SCHUNT","dom","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",712,"F","F1","1F","6.01",11.23,"P5",NA,"","STRA","SCHUNT","outbred hybrids",15.71428571,2,"E64","E64","E64 E88 E64"
"108","LM0236","E88","E64","STRA_STRA","E7","E88:E64","Straas2","dom","SY",8113,56,"STRA","SY",8111,56,"2018-05-03",2,7,"6","1","EX",948,"M","57","1M","7.73",11.92,"P2",NA,"","STRA","STRA","parental strains",9.571428571,2,"E64",NA,"NA E88 E64"
"109","LM0238","E88","E64","PWD_BUSNA","E7","E88:E64","PWD x BUSNA","mus x mus","SY",2996,46,"BUSNA","SY",6113,60,"2018-05-02",7,6,"5","?","EX",941,"M","F1","1M","5.39",8.68,"L4",NA,"REZERVA","PWD","BUSNA","outbred hybrids",9.714285714,2,"E64","u.c.","u.c. E88 E64"
"110","LM0239","E88","E88","SCHUNT_SCHUNT","E7","E88:E88","Schweben 2","dom","SY",5726,36,"SCHUNT","SY",5725,36,"2018-05-07",6,5,"2","3","EX",986,"F","37","1F","7.12",10.94,"L2",NA,"","SCHUNT","SCHUNT","parental strains",9,2,"E88","u.c.","u.c. E88 E88"
"111","LM0240","E88","E64","SCHUNT_PWD","E7","E88:E64","SCHUNT x PWD","dom x mus","SY",6904,37,"PWD","SY",5342,42,"2018-04-15",2,10,"7","3","EX",837,"F","F1","1F","6.95",11.7,"P5",NA,"","SCHUNT","PWD","inter subsp. hybrids",12.14285714,2,"E64","u.c.","u.c. E88 E64"
"112","LM0247","E88","E88","STRA_SCHUNT","E7","E88:E88","STRA x SCHUNT","dom","SY",5825,55,"SCHUNT","SY",3470,36,"2018-05-02",4,10,"6","4","EX",935,"M","F1","1M","7.69",13.66,"P4",NA,"REZERVA","STRA","SCHUNT","outbred hybrids",9.714285714,2,"E88","u.c.","u.c. E88 E88"
"113","LM0248","E88","E64","STRA_SCHUNT","E7","E88:E64","STRA x SCHUNT","dom","SY",5825,55,"SCHUNT","SY",3470,36,"2018-05-02",4,10,"6","4","EX",936,"F","F1","1F","7.62",12.83,"P5",NA,"REZERVA","STRA","SCHUNT","outbred hybrids",9.714285714,2,"E64","E64","E64 E88 E64"
"114","LM0249","E88","E64","SCHUNT_STRA","E7","E88:E64","SCHUNT x STRA","dom","SY",3472,36,"STRA","SY",7281,56,"2018-05-06",5,5,"3","2","EX",968,"M","F1","1M","7.31",12.85,"L4",NA,"REZERVA","SCHUNT","STRA","outbred hybrids",9.142857143,2,"E64","u.c.","u.c. E88 E64"
"115","LM0251","E88","E88","STRA_BUSNA","E7","E88:E88","STRA x BUSNA","dom x mus","SY",6346,55,"BUSNA","SY",6111,60,"2018-04-20",3,7,"2","5","EX",869,"F","F1","1F","7.32",12.31,"P2",NA,"REZERVA","STRA","BUSNA","inter subsp. hybrids",11.42857143,2,"E88",NA,"NA E88 E88"
"116","LM0254","E88","E88","SCHUNT_PWD","E7","E88:E88","SCHUNT x PWD","dom x mus","SY",6904,37,"PWD","SY",5342,42,"2018-05-08",3,7,"4","3","EX",989,"M","F1","1M","6.59",11.22,"L4",NA,"REZERVA","SCHUNT","PWD","inter subsp. hybrids",8.857142857,2,"E88",NA,"NA E88 E88"
"117","LM0255","E88","E64","BUSNA_BUSNA","E7","E88:E64","Buskovice","mus","SY",8209,62,"BUSNA","SY",8208,62,"2018-05-17",2,5,"4","1","EX",1061,"M","63","1M","5.53",8.64,"L5",NA,"REZERVA","BUSNA","BUSNA","parental strains",7.571428571,2,"E64",NA,"NA E88 E64"
"118","LM0256","E88","E88","STRA_STRA","E7","E88:E88","Straas2","dom","SY",8113,56,"STRA","SY",8111,56,"2018-05-03",2,7,"6","1","EX",949,"M","57","1M","7.77",11.71,"P3",NA,"","STRA","STRA","parental strains",9.571428571,2,"E88",NA,"NA E88 E88"
"119","LM0257","E88","E64","SCHUNT_SCHUNT","E7","E88:E64","Schweben 2","dom","SY",5726,36,"SCHUNT","SY",5725,36,"2018-05-07",6,5,"2","3","EX",982,"M","37","1M","7.32",11.61,"P2",NA,"REZERVA","SCHUNT","SCHUNT","parental strains",9,2,"E64",NA,"NA E88 E64"
"120","LM0258","E64","E64","BUSNA_PWD","E7","E64:E64","","mus x mus","SY",6115,60,"PWD","SY",7040,43,"2018-05-25",5,3,"0","3","EX",1099,"F","F1","1F","7.73",11.07,"P2",NA,"REZERVA","BUSNA","PWD","outbred hybrids",6.428571429,2,"E64","E64","E64 E64 E64"
"121","LM0259","E64","E64","STRA_BUSNA","E7","E64:E64","STRA x BUSNA","dom x mus","SY",6346,55,"BUSNA","SY",6111,60,"2018-04-20",3,7,"2","5","EX",868,"M","F1","1M","7.61",12.58,"L2",NA,"REZERVA","STRA","BUSNA","inter subsp. hybrids",11.42857143,2,"E64","u.c.","u.c. E64 E64"
"122","LM0261","E64","E88","PWD_SCHUNT","E7","E64:E88","PWD x SCHUNT","mus x dom","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",981,"F","F1","1F","4.72",8.14,"P3",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88",NA,"NA E64 E88"
"123","LM0264","E64","E88","PWD_PWD","E7","E64:E88","Prague","mus","SY",5343,42,"PWD","SY",5340,42,"2018-04-24",5,6,"3","2","EX",897,"M","43","1M","4.85",7.46,"L4",NA,"","PWD","PWD","parental strains",10.85714286,2,"E88",NA,"NA E64 E88"
"124","LM0266","E64","E88","SCHUNT_STRA","E7","E64:E88","SCHUNT x STRA","dom","SY",3472,36,"STRA","SY",7281,56,"2018-05-31",6,4,"1+?","2+?","EX",1133,"F","F1","1F","8.69",14.01,"L2",NA,"REZERVA","SCHUNT","STRA","outbred hybrids",5.571428571,2,"E88","u.c.","u.c. E64 E88"
"125","LM0268","E64","E88","SCHUNT_SCHUNT","E7","E64:E88","Schweben 2","dom","SY",5726,36,"SCHUNT","SY",5725,36,"2018-05-07",6,5,"2","3","EX",984,"F","37","1F","6.39",9.46,"P4",NA,"","SCHUNT","SCHUNT","parental strains",9,2,"E88","E64","E64 E64 E88"
"126","LM0271","E64","E88","STRA_BUSNA","E7","E64:E88","STRA x BUSNA","dom x mus","SY",6458,55,"BUSNA","SY",5143,59,"2018-03-13",1,9,"8","1","EX",681,"M","F1","1M","6.85",11.14,"L2",NA,"","STRA","BUSNA","inter subsp. hybrids",16.85714286,2,"E88",NA,"NA E64 E88"
"127","LM0260","E64","E64","SCHUNT_SCHUNT","E7","E64:E64","Schweben 2","dom","SY",7907,37,"SCHUNT","SY",7904,37,"2018-05-01",3,6,"5","1","EX",923,"M","38","1M","5.79",9.68,"L5",NA,"","SCHUNT","SCHUNT","parental strains",9.857142857,2,"E64","E64","E64 E64 E64"
"128","LM0262","E64","E64","BUSNA_BUSNA","E7","E64:E64","Buskovice","mus","SY",5146,59,"BUSNA","SY",5144,59,"2018-05-16",8,5,"1","4","EX",1039,"M","60","1M","5.67",9.21,"P2",NA,"","BUSNA","BUSNA","parental strains",7.714285714,2,"E64","E64","E64 E64 E64"
"129","LM0263","E64","E64","PWD_SCHUNT","E7","E64:E64","PWD x SCHUNT","mus x dom","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",980,"F","F1","1F","5.84",9.88,"P2",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E64","u.c.","u.c. E64 E64"
"130","LM0265","E64","E64","BUSNA_STRA","E7","E64:E64","BUSNA x STRA","mus x dom","SY",6114,60,"STRA","SY",6345,55,"2018-04-04",3,1,"1","0","EX",786,"M","F1","1M","7",11.22,"L2",NA,"","BUSNA","STRA","inter subsp. hybrids",13.71428571,2,"E64",NA,"NA E64 E64"
"131","LM0269","E64","E64","STRA_SCHUNT","E7","E64:E64","STRA x SCHUNT","dom","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",713,"F","F1","1F","6.31",11.58,"L2",NA,"","STRA","SCHUNT","outbred hybrids",15.71428571,2,"E64","E64","E64 E64 E64"
"132","LM0270","E64","E64","SCHUNT_STRA","E7","E64:E64","SCHUNT x STRA","dom","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",816,"F","F1","1F","6.1",10.96,"P2",NA,"","SCHUNT","STRA","outbred hybrids",12.85714286,2,"E64","E64","E64 E64 E64"
"133","LM0272","E64","E88","BUSNA_STRA","E7","E64:E88","","mus x dom","SY",8279,62,"STRA","SY",6456,55,"2018-05-31",2,5,"4","1","EX",1135,"F","F1","1F","7.03",11.61,"L2",NA,"REZERVA","BUSNA","STRA","inter subsp. hybrids",5.571428571,2,"E88",NA,"NA E64 E88"
"134","LM0273","E64","E88","STRA_SCHUNT","E7","E64:E88","STRA x SCHUNT","dom","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",714,"F","F1","1F","5.74",10.88,"L3",NA,"","STRA","SCHUNT","outbred hybrids",15.71428571,2,"E88","u.c.","u.c. E64 E88"
"135","LM0275","E64","E88","SCHUNT_PWD","E7","E64:E88","SCHUNT x PWD","dom x mus","SY",6904,37,"PWD","SY",5342,42,"2018-05-08",3,7,"4","3","EX",990,"F","F1","1F","6.27",11.2,"P2",NA,"REZERVA","SCHUNT","PWD","inter subsp. hybrids",8.857142857,2,"E88",NA,"NA E64 E88"
"136","LM0276","E64","E88","STRA_STRA","E7","E64:E88","Straas2","dom","SY",4827,55,"STRA","SY",4823,55,"2018-04-03",3,7,"2","5","EX",776,"F","56","1F","7.37",12.43,"P5",NA,"","STRA","STRA","parental strains",13.85714286,2,"E88",NA,"NA E64 E88"
"137","LM0277","E64","E88","BUSNA_STRA","E7","E64:E88","","mus x dom","SY",8279,62,"STRA","SY",6456,55,"2018-05-31",2,5,"4","1","EX",1134,"M","F1","1M","7",11.2,"P2",NA,"REZERVA","BUSNA","STRA","inter subsp. hybrids",5.571428571,2,"E88",NA,"NA E64 E88"
"138","LM0278","E64","E88","SCHUNT_PWD","E7","E64:E88","SCHUNT x PWD","dom x mus","SY",6904,37,"PWD","SY",5342,42,"2018-03-23",1,7,"5","2","EX",725,"F","F1","1F","5.49",9.81,"L3",NA,"","SCHUNT","PWD","inter subsp. hybrids",15.42857143,2,"E88",NA,"NA E64 E88"
"139","LM0279","E64","E64","BUSNA_BUSNA","E7","E64:E64","Buskovice","mus","SY",8209,62,"BUSNA","SY",8208,62,"2018-05-17",2,5,"4","1","EX",1059,"M","63","1M","5.62",8.29,"L3",NA,"","BUSNA","BUSNA","parental strains",7.571428571,2,"E64",NA,"NA E64 E64"
"140","LM0280","E64","E64","SCHUNT_SCHUNT","E7","E64:E64","Schweben 2","dom","SY",7907,36,"SCHUNT","SY",7904,37,"2018-05-01",3,6,"5","1","EX",925,"F","38","1F","5.91",9.54,"P2",NA,"","SCHUNT","SCHUNT","parental strains",9.857142857,2,"E64",NA,"NA E64 E64"
"141","LM0282","E64","E88","STRA_STRA","E7","E64:E88","Straas2","dom","SY",4827,55,"STRA","SY",4823,55,"2018-04-03",3,7,"2","5","EX",777,"F","56","1F","6.85",11.88,"L2",NA,"","STRA","STRA","parental strains",13.85714286,2,"E88",NA,"NA E64 E88"
"142","LM0283","E64","E88","PWD_PWD","E7","E64:E88","Prague","mus","SY",5343,42,"PWD","SY",5340,42,"2018-04-24",5,6,"3","2","EX",895,"M","43","1M","5.07",7.15,"L2",NA,"","PWD","PWD","parental strains",10.85714286,2,"E88","E64","E64 E64 E88"
"143","LM0284","E64","E64","STRA_BUSNA","E7","E64:E64","STRA x BUSNA","dom x mus","SY",6346,55,"BUSNA","SY",6111,60,"2018-03-07",2,5,"2","3","EX",661,"F","F1","1F","7.89",10.41,"L3",NA,"","STRA","BUSNA","inter subsp. hybrids",17.71428571,2,"E64","u.c.","u.c. E64 E64"
"144","LM0285","E64","E64","PWD_PWD","E7","E64:E64","Prague","mus","SY",5343,42,"PWD","SY",5340,42,"2018-04-24",5,6,"3","2","EX",896,"M","43","1M","4.55",5.35,"L3",NA,"","PWD","PWD","parental strains",10.85714286,2,"E64",NA,"NA E64 E64"
"145","LM0286","E64","E88","PWD_BUSNA","E7","E64:E88","","mus x mus","SY",2996,46,"BUSNA","SY",6113,60,"2018-05-30",8,3,"1","2","EX",1131,"F","F1","1F","6.82",10.46,"P2",NA,"","PWD","BUSNA","outbred hybrids",5.714285714,2,"E88",NA,"NA E64 E88"
"146","LM0287","E64","E64","BUSNA_PWD","E7","E64:E64","BUSNA x PWD","mus x mus","SY",6115,60,"PWD","SY",7040,43,"2018-04-01",3,4,"2","2","EX",755,"F","F1","1F","6.67",11.55,"L3",NA,"","BUSNA","PWD","outbred hybrids",14.14285714,2,"E64",NA,"NA E64 E64"
"147","LM0288","E64","E88","PWD_BUSNA","E7","E64:E88","","mus x mus","SY",2996,46,"BUSNA","SY",6113,60,"2018-05-30",8,3,"1","2","EX",1132,"F","F1","1F","6.97",10.52,"P3",NA,"REZERVA","PWD","BUSNA","outbred hybrids",5.714285714,2,"E88","u.c.","u.c. E64 E88"
"148","LM0289","E64","E88","SCHUNT_SCHUNT","E7","E64:E88","Schweben 2","dom","SY",7907,37,"SCHUNT","SY",7904,37,"2018-05-01",3,6,"5","1","EX",924,"M","38","1M","5.62",9.23,"P4",NA,"","SCHUNT","SCHUNT","parental strains",9.857142857,2,"E88",NA,"NA E64 E88"
"149","LM0291","E64","E64","PWD_BUSNA","E7","E64:E64","PWD x BUSNA","mus x mus","SY",2996,46,"BUSNA","SY",6113,60,"2018-05-02",7,6,"5","?","EX",940,"M","F1","1M","5.21",8.67,"L3",NA,"","PWD","BUSNA","outbred hybrids",9.714285714,2,"E64","E64","E64 E64 E64"
"150","LM0292","E64","E88","BUSNA_PWD","E7","E64:E88","BUSNA x PWD","mus x mus","SY",6115,60,"PWD","SY",7040,43,"2018-04-28",4,4,"2+?","1+?","EX",914,"M","F1","1M","715",12,"P3",NA,"REZERVA","BUSNA","PWD","outbred hybrids",10.28571429,2,"E88",NA,"NA E64 E88"
"151","LM0293","E64","E88","BUSNA_BUSNA","E7","E64:E88","Buskovice","mus","SY",8209,62,"BUSNA","SY",8208,62,"2018-05-17",2,5,"4","1","EX",1060,"M","63","1M","5.27",8.06,"L4",NA,"","BUSNA","BUSNA","parental strains",7.571428571,2,"E88",NA,"NA E64 E88"
"152","LM0294","E64","E64","PWD_PWD","E7","E64:E64","Prague","mus","SY",7076,42,"PWD","SY",7073,42,"2018-04-03",2,9,"3","6","EX",780,"M","43","1M","3.17",5.14,"L3",NA,"","PWD","PWD","parental strains",13.85714286,2,"E64","E64","E64 E64 E64"
"153","LM0295",NA,NA,"SCHUNT_PWD","E7",NA,"SCHUNT x PWD","dom x mus","SY",6904,37,"PWD","SY",5342,42,"2018-03-23",1,7,"5","2","EX",724,"F","F1","1F","5.48",9.95,"L2",NA,"","SCHUNT","PWD","inter subsp. hybrids",15.42857143,2,"E64",NA,NA
"154","LM0400","E64","E64","SCHUNT_SCHUNT","E11","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","LM0401","UNI","UNI","SCHUNT_SCHUNT","E11","UNI:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","LM0402","UNI","E64","SCHUNT_SCHUNT","E11","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","LM0403","E88","E88","PWD_PWD","E11","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","LM0404","E64","E64","PWD_PWD","E11","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","LM0405","E88","E64","PWD_PWD","E11","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","LM0406","UNI","E88","SCHUNT_SCHUNT","E11","UNI:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","LM0407","UNI","E64","SCHUNT_SCHUNT","E11","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","LM0408","E64","E88","PWD_PWD","E11","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","LM0409","E88","UNI","PWD_PWD","E11","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","LM0410","E64","E64","PWD_PWD","E11","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","LM0411","E64","E88","PWD_PWD","E11","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","LM0412","UNI","E64","SCHUNT_SCHUNT","E11","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","LM0413","E64","UNI","SCHUNT_SCHUNT","E11","E64:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","LM0414","E88","E88","PWD_PWD","E11","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","LM0415","UNI","E64","SCHUNT_SCHUNT","E11","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","LM0416","E88","UNI","PWD_PWD","E11","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","LM0417","E64","E88","SCHUNT_SCHUNT","E11","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","LM0418","E88","E88","SCHUNT_SCHUNT","E11","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","LM0419","E88","E88","SCHUNT_SCHUNT","E11","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","LM0420","E88","E88","SCHUNT_SCHUNT","E11","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","LM0421","UNI","E64","PWD_PWD","E11","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","LM0422","E64","E88","PWD_PWD","E11","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","LM0423","E88","E64","PWD_PWD","E11","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
