"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"603","LM0335","P3aWSE","P3",42.5,49.4,86.0323886639676,1.54,10,"primary"
"604","LM0336","P3aWTG","P3",49.7,51.9,95.7610789980732,3.37,7,"primary"
"605","LM0334","P3aXBC","P3",48.5,50.7,95.6607495069034,NA,5,"primary"
"606","LM0338","P3aXUQ","P3",44.2,51.3,86.1598440545809,NA,9,"primary"
"607","LM0342","P3aXVS","P3",49.5,57,86.8421052631579,NA,11,"primary"
"608","LM0342","P3aXYE","P3",56.3,57,98.7719298245614,1.8,3,"primary"
"609","LM0332","P3aYJG","P3",49.9,61.2,81.5359477124183,0.64,9,"primary"
"610","LM0335","P3aYKB","P3",46.5,49.4,94.1295546558704,NA,2,"primary"
"611","LM0341","P3aYKT","P3",59.1,59.1,100,NA,0,"primary"
"612","LM0345","P3aYKY","P3",57.3,60.7,94.3986820428336,NA,10,"primary"
"613","LM0336","P3aYLP","P3",50.1,51.9,96.5317919075144,NA,2,"primary"
"614","LM0347","P3aYMT","P3",63.7,71.5,89.0909090909091,4.86,8,"primary"
"615","LM0342","P3aYNS","P3",52.7,57,92.4561403508772,1.96,6,"primary"
"616","LM0335","P3aYTP","P3",43.6,49.4,88.2591093117409,3.06,11,"primary"
"617","LM0332","P3aYTT","P3",59.2,61.2,96.7320261437908,NA,4,"primary"
"618","LM0342","P3aYUI","P3",51.2,57,89.8245614035088,NA,10,"primary"
"619","LM0346","P3aYYU","P3",52.8,53.9,97.9591836734694,NA,10,"primary"
"620","LM0341","P3aZGF","P3",54.2,59.1,91.7089678510998,NA,2,"primary"
"621","LM0344","P3aZPZ","P3",51.4,51.4,100,NA,0,"primary"
"622","LM0346","P3aZQY","P3",52.5,53.9,97.4025974025974,3.92,6,"primary"
"623","LM0338","P3aZTI","P3",45.3,51.3,88.3040935672515,0.7,6,"primary"
"624","LM0344","P3aZTL","P3",51.6,51.4,100.389105058366,NA,3,"primary"
"625","LM0332","P3aZUX","P3",59.6,61.2,97.3856209150327,NA,1,"primary"
"626","LM0334","P3aZXF","P3",59.5,50.7,117.357001972387,NA,1,"primary"
"627","LM0336","P3bAGV","P3",46,52.3,95.4110898661568,0.67,5,"challenge"
"628","LM0337","P3bAHV","P3",44.4,44.9,98.8864142538975,1.59,6,"challenge"
"629","LM0332","P3bAOV","P3",50.2,51.3,97.8557504873294,NA,5,"challenge"
"630","LM0332","P3bBHI","P3",51.3,51.3,100,NA,0,"challenge"
"631","LM0342","P3bBPM","P3",51.2,55.6,94.2446043165468,1.87,3,"challenge"
"632","LM0341","P3bBPO","P3",54.5,58.1,93.8037865748709,1.98,7,"challenge"
"633","LM0343","P3bBQA","P3",52.9,56.5,93.6283185840708,1.62,8,"challenge"
