,EH_ID,CASP1,CXCL9,CXCR3,GAPDH,IDO1,IFNG,IL10,IL12A,IL13,IL1RN,IRGM1,MPO,MUC2,MUC5AC,MYD88,NCR1,PPIB,PRF1,RETNLB,SOCS1,TICAM1,TNF,IL6,IL17A
1,AA0053,22.3962003830813,15.5097332574826,20.4573988135313,3.92567749942915,12.3409980886296,17.7704089496093,19.9771005537668,19.5582469630543,17.2988838525735,10.8133050743151,9.47877133473768,15.769588891091,8.14946865018169,8.08599731399743,13.4310333534766,25.5466741063785,16.6024802427078,21.9019293302739,10.0210975857333,10.5197224364555,19.65093796469,18.0636006857446,NA,NA
2,AA0061,NA,24.552410576762,29.0460644466522,4.5500995252626,27.240859513104,NA,NA,NA,13.8279449996314,21.6176809128899,9.90374428529745,28.9932850181643,8.66876465542623,20.5535263233958,19.2654416049661,28.2861457175401,17.6305728470997,22.1950424732082,NA,10.3509720693764,19.1887494151625,28.670345864381,25.7853676441147,NA
3,AA0065,24.1899451054068,NA,27.91444686101,4.50656058684483,28.3400534541985,NA,28.4342996941865,NA,28.7962402448963,23.0472022426504,10.4052934333715,NA,22.307365367559,21.4596242920353,NA,NA,23.8015916522179,NA,23.1497305835788,10.5026258347716,NA,27.8073788114574,NA,NA
4,AA0067,19.7311175872092,20.262810052435,19.6268093668883,3.12156720530363,16.4029984170172,21.696051939686,25.6026392082613,22.6831265383517,20.4359774331111,14.5758460516447,8.63524339135926,15.467280436278,7.18334942531766,7.32077276219427,8.06663573917176,26.2564065152664,18.6305728470997,26.5473247008031,9.33236272840009,9.64856157154242,24.1616958166265,19.4651209880687,24.8687978199118,22.7455274734848
5,AA0078,20.0151895607441,18.0892030512322,19.7290466915133,4.29764885524109,12.3593882389707,20.3981574181814,20.991042416573,18.5255261001411,14.9186311906023,11.1918085656886,9.91862295293787,16.1778110679176,8.39856292704786,8.48178881348591,9.21271075584795,29.1670947600233,12.767780825888,26.7796594665942,9.56957329872745,11.0892071173239,15.7756343917794,18.4475229376812,23.5783138709507,21.4391008151291
6,AA0079,NA,NA,NA,16.7569449341067,NA,NA,NA,NA,NA,NA,22.6076624967495,NA,22.4660968646779,22.9019952495303,23.2327162478718,NA,16.6305728470997,NA,22.3587332003286,24.8167985466961,NA,NA,NA,NA
7,AA0082,21.8010692429249,13.6719984221085,19.6832978911429,3.91407628870872,11.172960079003,17.0224658310885,20.4116800735579,17.8168923436496,16.6652600816645,10.2690258267163,9.24974613620432,15.7939412149953,7.91140028466805,7.93856445246577,8.70271966130555,25.6769050368161,13.2101401185063,NA,8.3586252179281,10.2176195236856,18.398109067993,20.1370527388514,19.8984606596123,22.780482863219
8,AA0086,NA,19.7049305737292,20.4863664648133,5.81048918431102,12.3248319547543,18.7013700259549,NA,19.7953502246901,10.7764993238065,11.2590222862608,11.4801427954634,18.2289251740952,9.69603036484969,9.88893330712969,16.1395612411592,22.6379170747493,15.2101401185063,NA,NA,12.641449893668,16.9489248336579,20.6681081943793,21.6551342205303,22.5114699957713
9,AA0090,NA,23.4350859345278,21.9288324119777,5.24010438280007,25.0565733330061,NA,NA,22.5912137254487,10.3953305547871,NA,11.0968936325154,26.2841286827586,9.62227431478285,9.7425872931114,20.5689366230772,27.8316473883903,13.3561401185063,27.8000522006151,NA,12.3912702598826,23.2399436741513,24.9679158516033,NA,NA
10,AA0093,NA,19.8071782074125,20.2841531299617,4.62477670396179,11.6347172363509,24.1134782188647,NA,19.7457437506203,9.4507552805061,10.2198732642011,10.1039718004436,16.2833286665552,8.63847935552115,8.62877281936883,17.4218422768781,26.011705196929,13.2101401185063,23.1291982442425,NA,11.0714196189538,17.8979846403591,21.4180258468577,22.2467867640112,28.9714311090167
